Diseases,OTC1,OTC2,OTC3,OTC4
Addison's Disease (Mild Symptoms),"Oral Rehydration Salts (Electral, Pedialyte)

Dose to Take: Dissolve 1 sachet in water and drink 2-3 times daily.
Alternate Medicines:
Hydration Tablets (Nuun) – Take as directed.
Coconut Water – Drink 1-2 glasses daily for natural electrolytes.","Sodium Chloride Tablets

Dose to Take: 1 tablet (600 mg) once or twice daily, depending on symptoms.
Alternate Medicines:
Electrolyte Powder (Ultima Replenisher) – Mix as directed.
Sports Drinks (Gatorade) – Drink as needed.","Vitamin D Supplements

Dose to Take: 600-1000 IU daily.
Alternate Medicines:
Calcium with Vitamin D – Take 1 tablet daily.
Vitamin D Gummies – 1 gummy daily as per dose.","Ashwagandha Supplements

Dose to Take: 1 capsule (300 mg) daily to support adrenal function.
Alternate Medicines:
Rhodiola Rosea – 1 capsule daily.
Licorice Root Capsules – Take 1 capsule daily.
"
ADHD (mild symptoms management),"Omega-3 Fatty Acids (Fish Oil, Nordic Naturals)

Dose to Take: 1000 mg daily with meals.
Alternate Medicines:
Flaxseed Oil Capsules – 1000 mg daily.
Krill Oil Capsules – 500 mg daily.","Magnesium Supplements (Calm Magnesium Powder)

Dose to Take: 1 teaspoon (200-300 mg) mixed in water daily.
Alternate Medicines:
Magnesium Glycinate Tablets – 200 mg daily.
Magnesium Citrate Capsules – 200-300 mg daily.","Melatonin (For Sleep Issues)

Dose to Take: 1-3 mg, 30 minutes before bedtime.
Alternate Medicines:
Chamomile Tea – Drink 1 cup before bed.
L-Theanine Capsules – 100-200 mg before bedtime.","Ginkgo Biloba Supplements

Dose to Take: 60-120 mg daily to enhance focus.
Alternate Medicines:
Bacopa Monnieri (Brahmi) – 300 mg daily.
Rhodiola Rosea Capsules – 100-200 mg daily.
"
Alcohol Hangover,"Antacids (TUMS, Rolaids)

Dose to Take: 1-2 tablets as needed to relieve heartburn or nausea.
Alternate Medicines:
Bismuth Subsalicylate (Pepto-Bismol) – 30 mL or 2 tablets every 30 minutes as needed (max 8 doses/day).
Electrolyte Solution (Pedialyte) – 1 cup every few hours to rehydrate.","Ibuprofen (Advil, Motrin)

Dose to Take: 200-400 mg every 4-6 hours for headache and muscle pain (max 1200 mg/day).
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours (max 3000 mg/day).
Aspirin (Bayer) – 325 mg every 4-6 hours (max 4000 mg/day).","Multivitamin Tablets (One A Day)

Dose to Take: 1 tablet daily, preferably in the morning.
Alternate Medicines:
Vitamin B Complex (Neurobion Forte) – 1 tablet daily.
Thiamine (Vitamin B1) – 50-100 mg daily to support recovery.","Activated Charcoal Tablets (CharcoCaps)

Dose to Take: 2 capsules after drinking (for toxin absorption).
Alternate Medicines:
Milk Thistle Supplements – 300 mg daily for liver support.
Ginger Tea – Drink 1-2 cups to reduce nausea."
Alcoholic Liver Disease (Mild),"Milk Thistle Capsules (Silymarin)

Dose to Take: 300 mg twice daily.
Alternate Medicines:
Liv-52 (Himalaya) – 2 tablets twice daily after meals.
Vitamin E (400 IU Capsules) – Take once daily.","Vitamin B Complex Tablets

Dose to Take: 1 tablet daily to replenish lost nutrients.
Alternate Medicines:
Thiamine (Vitamin B1) – 50-100 mg daily.
Folic Acid (5 mg) – Take daily.","SAM-e (S-Adenosyl Methionine)

Dose to Take: 400 mg once or twice daily on an empty stomach.
Alternate Medicines:
N-Acetylcysteine (NAC) – 600 mg twice daily.
Glutathione Supplements – 500 mg daily.","Probiotics (Florastor, Culturelle)

Dose to Take: 1 capsule daily with meals to improve gut health.
Alternate Medicines:
Yogurt with Live Cultures – 1 cup daily.
Apple Cider Vinegar (1 tbsp diluted) – Take before meals."
Allergic Dermatitis,"Hydrocortisone Cream (1%)

Dose to Take: Apply a thin layer to affected areas 2-3 times daily.
Alternate Medicines:
Calamine Lotion (Caladryl) – Apply as needed for itching.
Antihistamine Cream (Benadryl Itch Cream) – Use 2-3 times daily.","Oral Antihistamines (Cetirizine, Zyrtec)

Dose to Take: 10 mg once daily.
Alternate Medicines:
Loratadine (Claritin) – 10 mg once daily.
Diphenhydramine (Benadryl) – 25-50 mg every 6-8 hours.","Oatmeal-Based Products (Aveeno Cream)

Dose to Take: Apply liberally to soothe itching and inflammation.
Alternate Medicines:
Aloe Vera Gel – Apply as needed to calm skin.
Petroleum Jelly (Vaseline) – Use on dry patches for relief.","Zinc Oxide Ointment

Dose to Take: Apply a thin layer to affected areas 2-3 times daily.
Alternate Medicines:
Tea Tree Oil Cream (Diluted) – Apply sparingly.
Chamomile Cream – Use twice daily."
Allergic Rhinitis,"Loratadine (Claritin)

Dose to Take: 10 mg once daily.
Alternate Medicines:
Cetirizine (Zyrtec) – 10 mg once daily.
Fexofenadine (Allegra) – 60 mg twice daily or 180 mg once daily.","Nasal Saline Spray (NeilMed)

Dose to Take: Spray into each nostril 2-3 times daily.
Alternate Medicines:
Xylometazoline Nasal Spray (Otrivin) – Use twice daily for short-term relief.
Fluticasone Nasal Spray (Flonase) – 2 sprays in each nostril once daily.","Steam Inhalation

Dose to Take: Inhale steam 2-3 times daily to relieve nasal congestion.
Alternate Medicines:
Eucalyptus Oil (Add to steam) – 2-3 drops in boiling water.
Menthol Rub (Vicks Vaporub) – Apply to chest and throat.","Bromelain Supplements

Dose to Take: 500 mg twice daily for inflammation.
Alternate Medicines:
Quercetin Tablets – 500 mg twice daily.
Vitamin C (1000 mg) – Once daily."
Allergies,"Diphenhydramine (Benadryl)

Dose to Take: 25-50 mg every 6-8 hours.
Alternate Medicines:
Chlorpheniramine (Chlor-Trimeton) – 4 mg every 4-6 hours.
Loratadine (Claritin) – 10 mg once daily.","Cetirizine (Zyrtec)

Dose to Take: 10 mg once daily.
Alternate Medicines:
Fexofenadine (Allegra) – 180 mg once daily.
Levocetirizine (Xyzal) – 5 mg once daily.","Hydrocortisone Cream (1%)

Dose to Take: Apply to skin rashes 2-3 times daily.
Alternate Medicines:
Calamine Lotion (Caladryl) – Apply as needed.
Aloe Vera Gel – Use for soothing.","Eye Drops (Ketotifen, Zaditor)

Dose to Take: 1 drop in each eye twice daily for itchy, allergic eyes.
Alternate Medicines:
Naphazoline Eye Drops (Clear Eyes) – 1-2 drops as needed.
Artificial Tears (Refresh Tears) – Use as needed."
Alopecia (patchy baldness),"Minoxidil Solution (Rogaine 2% or 5%)

Dose to Take: Apply 1 mL to the scalp twice daily.
Alternate Medicines:
Finasteride Tablets (OTC in some areas) – 1 mg daily.
Biotin Supplements (10,000 mcg) – 1 tablet daily.","Hair Growth Serums (The Ordinary Multi-Peptide Serum)

Dose to Take: Apply 5-10 drops to the scalp daily.
Alternate Medicines:
Castor Oil (Cold-Pressed) – Apply to affected areas overnight.
Coconut Oil with Curry Leaves Extract – Massage into scalp.","Ketoconazole Shampoo (Nizoral 2%)

Dose to Take: Use twice weekly to reduce scalp inflammation.
Alternate Medicines:
Salicylic Acid Shampoo – Use as directed for scalp care.
Zinc Pyrithione Shampoo (Head & Shoulders Clinical) – Use 2-3 times weekly.","Iron Supplements (Ferrous Sulfate)

Dose to Take: 325 mg once daily.
Alternate Medicines:
Multivitamin with Iron – Take once daily.
Vitamin D (400-1000 IU) – Take once daily."
Altitude Sickness,"Acetazolamide (Diamox)

Dose to Take: 125-250 mg twice daily, starting 1-2 days before ascent.
Alternate Medicines:
Ibuprofen (Advil) – 200-400 mg every 6 hours for headache relief.
Ginger Capsules – 250 mg every 6 hours for nausea.","Promethazine (Phenergan)

Dose to Take: 25 mg every 4-6 hours for nausea and dizziness.
Alternate Medicines:
Ondansetron (Zofran) – 4 mg every 8 hours.
Meclizine (Dramamine Less Drowsy) – 25 mg once daily.","Oxygen Canisters (Boost Oxygen)

Dose to Take: Inhale as needed for breathlessness.
Alternate Medicines:
Portable Oxygen Concentrators – Use as directed.
Deep Breathing Exercises – Practice 5-10 minutes every hour.","Hydration Sachets (ORS)

Dose to Take: Mix 1 sachet in 1 liter of water and sip throughout the day.
Alternate Medicines:
Electrolyte Tablets (Nuun) – Dissolve in water and drink.
Coconut Water – Drink 1-2 cups daily for hydration."
Anemia,"Multivitamins with Iron (Centrum)

Dose to Take: 1 tablet daily after meals.
Alternate Medicines:
Folic Acid Tablets (5 mg) – Take once daily.
Vitamin B12 Sublingual Tablets – 1000 mcg daily.","Ferrous Sulfate Tablets (Feosol)

Dose to Take: 325 mg once daily with food.
Alternate Medicines:
Ferrous Gluconate (Fergon) – 240 mg daily.
Iron Polysaccharide Capsules (Niferex) – Take as directed.","Vitamin C Supplements (Redoxon)

Dose to Take: 500 mg daily to enhance iron absorption.
Alternate Medicines:
Citrus Fruits or Juices – Consume 1-2 servings daily.
Chewable Vitamin C (Emergen-C) – Take daily.","Iron-Rich Foods (OTC Fortified Cereal)

Dose to Take: 1 serving daily as a snack or breakfast.
Alternate Medicines:
Spinach or Kale Powder – Add to smoothies.
Beetroot Powder – Mix 1 tsp in water daily."
Anemia (Iron Deficiency),"Ferrous Fumarate (Ferro-Sequels)

Dose to Take: 210 mg once daily.
Alternate Medicines:
Iron Polysaccharide Complex (Ferrex) – Take as directed.
Liquid Iron Supplements (Floradix) – 10 mL twice daily.","Heme Iron Polypeptides (Proferrin ES)

Dose to Take: 1 tablet daily with meals.
Alternate Medicines:
Iron Bisglycinate Chelate (Gentle Iron) – Take once daily.
Iron Gummies (Flintstones Complete) – 1-2 gummies daily.","Folate Tablets (Folvite)

Dose to Take: 5 mg once daily.
Alternate Medicines:
Methylfolate (L-Methylfolate) – 400 mcg daily.
B Complex with Folate – Take daily.","Vitamin C (Ascorbic Acid)

Dose to Take: 500 mg daily to improve iron absorption.
Alternate Medicines:
Citrus-Based Chewable Tablets (Cebion) – Take as directed.
Amla Juice (Indian Gooseberry) – Drink 20-30 mL daily."
Angina Pectoris,"Aspirin Low Dose (81 mg)

Dose to Take: 1 tablet daily for heart health.
Alternate Medicines:
Clopidogrel (Plavix) – 75 mg daily (if OTC in your region).
Fish Oil Capsules – 1000 mg daily for cardiovascular support.","Nitroglycerin Tablets (Sublingual)

Dose to Take: 0.3-0.6 mg under the tongue during angina symptoms.
Alternate Medicines:
Isosorbide Dinitrate (Sorbitrate) – Take as prescribed (if OTC).
L-Arginine Supplements – 500 mg twice daily.","Magnesium Supplements (Magnesium Citrate)

Dose to Take: 200-400 mg daily to support heart function.
Alternate Medicines:
Potassium-Rich Foods (Bananas) – Consume 1-2 servings daily.
Coenzyme Q10 Capsules (CoQ10) – 100 mg daily.","Omega-3 Supplements (Fish Oil)

Dose to Take: 1000 mg daily.
Alternate Medicines:
Flaxseed Oil Capsules – 1 capsule daily.
Chia Seeds – 1 tbsp daily in water."
Angular Cheilitis,"Antifungal Cream (Clotrimazole 1%)

Dose to Take: Apply twice daily to affected areas.
Alternate Medicines:
Miconazole Cream (Micatin) – Apply twice daily.
Nystatin Ointment – Use as directed.","Lip Balm with Vitamin E

Dose to Take: Apply 3-4 times daily.
Alternate Medicines:
Petroleum Jelly (Vaseline) – Apply liberally.
Coconut Oil – Use as needed for hydration.","Hydrocortisone Cream (1%)

Dose to Take: Apply a thin layer twice daily.
Alternate Medicines:
Betamethasone Cream (0.05%) – Use sparingly.
Aloe Vera Gel – Apply as needed.","Vitamin B Complex Tablets

Dose to Take: 1 tablet daily.
Alternate Medicines:
Vitamin B2 (Riboflavin) – 50 mg daily.
Folic Acid Tablets – 5 mg daily."
Animal bite,"Antiseptic Solution (Betadine)

Dose to Take: Clean wound with diluted solution 2-3 times daily.
Alternate Medicines:
Hydrogen Peroxide – Clean wound once daily.
Saline Solution – Flush wound thoroughly.","Antibiotic Cream (Neosporin)

Dose to Take: Apply thinly to wound 2-3 times daily.
Alternate Medicines:
Bacitracin Ointment – Use as directed.
Silver Sulfadiazine Cream – Apply twice daily.","Pain Relief (Acetaminophen, Tylenol)

Dose to Take: 500 mg every 6 hours.
Alternate Medicines:
Ibuprofen (Advil) – 200-400 mg every 6-8 hours.
Aspirin (Bayer) – 325 mg every 4-6 hours.","Hydration Sachets (ORS)

Dose to Take: Mix 1 sachet in water for dehydration if fever or infection develops.
Alternate Medicines:
Electrolyte Tablets (Nuun) – Dissolve in water.
Coconut Water – Drink 1-2 cups daily."
Ankle Swelling,"Ibuprofen (Advil)

Dose to Take: 200-400 mg every 6-8 hours for pain and inflammation.
Alternate Medicines:
Acetaminophen (Tylenol) – 500 mg every 6 hours.
Naproxen (Aleve) – 220 mg every 12 hours.","Compression Bandages (ACE Wrap)

Dose to Take: Wrap snugly around the swollen ankle.
Alternate Medicines:
Elastic Ankle Sleeves – Use as needed.
Kinesiology Tape – Apply as directed.","Arnica Gel (Boiron)

Dose to Take: Apply thinly to affected area 3-4 times daily.
Alternate Medicines:
Diclofenac Gel (Voltaren) – Apply twice daily.
Menthol Ointments (Icy Hot) – Use for cooling relief","Magnesium Supplements (Magnesium Citrate)

Dose to Take: 200-400 mg daily to reduce water retention.
Alternate Medicines:
Epsom Salt (Magnesium Sulfate) – Use in warm foot soak.
Potassium-Rich Foods (Bananas) – Consume 1-2 daily."
Anxiety,"L-Theanine Supplements (Suntheanine)

Dose to Take: 100-200 mg twice daily.
Alternate Medicines:
Ashwagandha Capsules (KSM-66) – 300 mg twice daily.
Valerian Root Capsules – 400-600 mg before bedtime.","Magnesium Glycinate

Dose to Take: 200-400 mg once daily in the evening.
Alternate Medicines:
Magnesium Citrate – Take the same dose.
Epsom Salt Bath (Magnesium Sulfate) – Soak for 20 minutes.","Passionflower (Passiflora)

Dose to Take: 300-400 mg daily or as tea (2-3 cups).
Alternate Medicines:
Chamomile Tea (Sleepytime Extra) – 1 cup before bed.
Lemon Balm Capsules – 300-600 mg daily.","Lavender Oil Capsules (CalmAid)

Dose to Take: 80 mg daily.
Alternate Medicines:
Bach Rescue Remedy – 4 drops on the tongue as needed.
Melatonin (low dose) – 1-2 mg at bedtime for stress-induced insomnia."
Anxiety-Induced Palpitations,"Magnesium Citrate

Dose to Take: 200-400 mg daily.
Alternate Medicines:
Potassium Supplements (Slow-K) – 8 mEq daily.
Electrolyte Drinks (Electral) – 1 sachet daily.","Omega-3 Fish Oil (Nordic Naturals)

Dose to Take: 1000 mg daily.
Alternate Medicines:
CoQ10 (Ubiquinol) – 100-200 mg daily.
Vitamin E Capsules – 400 IU daily.","Beta-Blocker Supplements (Herbal Calm)

Dose to Take: As directed on the package.
Alternate Medicines:
L-Theanine – 100 mg twice daily.
Valerian Root Extract – 400 mg daily.","Lavender Oil Capsules (CalmAid)

Dose to Take: 80 mg daily.
Alternate Medicines:
Passionflower Tea – 1-2 cups daily.
Chamomile Tea – 1-2 cups daily."
Anxiety-Induced Sleeplessness,"Melatonin (Natrol)

Dose to Take: 3-5 mg, 30 minutes before bedtime.
Alternate Medicines:
Valerian Root (Nature’s Way) – 400-600 mg at bedtime.
Magnesium Glycinate – 200-400 mg at bedtime.","Diphenhydramine (Benadryl)

Dose to Take: 25-50 mg at bedtime.
Alternate Medicines:
Doxylamine Succinate (Unisom) – 25 mg at bedtime.
Chamomile Tea (Sleepytime Extra) – 1 cup before bed.","5-HTP (Hydroxytryptophan)

Dose to Take: 50-100 mg daily.
Alternate Medicines:
L-Theanine – 100-200 mg at bedtime.
Passionflower Tea – 1-2 cups daily.","Magnesium Citrate

Dose to Take: 200-400 mg at bedtime.
Alternate Medicines:
Ashwagandha (KSM-66) – 300 mg at bedtime.
Lavender Oil Capsules (CalmAid) – 80 mg at bedtime."
Anxiety-Induced Tremors,"Propranolol (Beta-Blocker Supplement)

Dose to Take: 10-40 mg before stressful events. (OTC versions are herbal-based.)
Alternate Medicines:
Magnesium Citrate – 200-400 mg daily.
L-Theanine – 100-200 mg daily.","Vitamin B6

Dose to Take: 50-100 mg daily.
Alternate Medicines:
Vitamin B12 (Cyanocobalamin) – 1000 mcg daily.
Multivitamins with Zinc – 1 tablet daily.","Ashwagandha Capsules

Dose to Take: 300 mg twice daily.
Alternate Medicines:
Passionflower Extract – 300-400 mg daily.
Lavender Oil Capsules – 80 mg daily.","Omega-3 Fish Oil

Dose to Take: 1000 mg daily.
Alternate Medicines:
CoQ10 Supplements – 100 mg daily.
Vitamin E Capsules – 400 IU daily."
Appetite loss (Anorexia),"Cyproheptadine (Apetamin)

Dose to Take: 5-10 mg before meals.
Alternate Medicines:
Periactin Syrup – 2 teaspoons before meals.
Multivitamin Syrups (Becosules) – 10 ml daily.","Zinc Supplements (Zincovit)

Dose to Take: 1 tablet daily.
Alternate Medicines:
Zinc Sulfate Syrup – 1 teaspoon daily.
Iron Syrup (Ferrous Sulfate) – 1 teaspoon daily.","Digestive Enzymes (Aristozyme)

Dose to Take: 1-2 teaspoons after meals.
Alternate Medicines:
Papaya Enzyme Chewables – 2-4 tablets daily.
Creon (Pancreatic Enzymes) – 1 capsule with meals.","Probiotics (Yakult)

Dose to Take: 1-2 bottles daily.
Alternate Medicines:
Florastor Capsules – 1-2 capsules daily.
Lactobacillus Sachets (Enterogermina) – 1-2 sachets daily."
